0,1,249
1,1,156
2,1,306
3,1,82
4,1,20
5,1,322
6,1,140
7,1,357
8,1,113
9,1,203
10,1,170
11,1,83
12,1,6
13,1,275
14,1,143
15,1,67
16,1,169
17,1,281
18,1,289
19,1,194
20,1,408
21,1,152
22,1,271
23,1,390
24,1,28
25,1,72
26,1,37
27,1,247
28,1,161
29,1,171
30,1,160
31,1,366
32,1,314
33,156,181
34,306,16
35,82,181
36,20,181
37,140,181
38,113,181
39,170,181
40,83,181
41,6,181
42,6,16
43,143,181
44,67,181
45,169,181
46,152,181
47,28,181
48,72,181
49,37,181
50,161,181
51,171,181
52,160,181
53,2,385
54,2,295
55,2,345
56,2,265
57,2,343
58,181,89
59,181,172
60,181,78
61,181,139
62,181,85
63,181,127
64,181,14
65,181,43
66,181,90
67,181,118
68,181,128
69,181,145
70,181,175
71,181,134
72,181,63
73,181,96
74,181,10
75,181,104
76,181,41
77,181,66
78,181,112
79,181,176
80,181,27
81,181,54
82,181,3
83,181,142
84,181,69
85,181,101
86,181,18
87,181,62
88,181,95
89,181,122
90,181,103
91,181,57
92,181,16
93,181,102
94,181,39
95,181,129
96,181,157
97,181,84
98,181,111
99,181,179
100,181,40
101,181,53
102,181,180
103,181,33
104,181,76
105,181,150
106,181,167
107,181,255
108,181,321
109,181,141
110,181,64
111,181,97
112,181,173
113,181,11
114,181,47
115,181,80
116,181,34
117,181,144
118,181,153
119,181,49
120,181,45
121,181,35
122,181,136
123,181,31
124,181,9
125,181,168
126,181,178
127,181,165
128,181,25
129,181,42
130,181,110
131,181,79
132,181,124
133,181,132
134,181,38
135,181,5
136,181,158
137,181,147
138,181,121
139,181,163
140,181,65
141,181,130
142,181,177
143,181,60
144,181,7
145,181,15
146,181,135
147,181,58
148,181,81
149,181,75
150,181,133
151,181,70
152,181,73
153,181,154
154,181,36
155,181,71
156,181,125
157,181,269
158,181,22
159,181,88
160,181,94
161,181,105
162,181,26
163,181,8
164,181,56
165,181,166
166,181,77
167,181,138
168,181,114
169,181,92
170,181,164
171,181,91
172,181,162
173,181,17
174,181,44
175,181,52
176,181,24
177,181,146
178,181,19
179,181,117
180,181,50
181,181,86
182,181,120
183,181,155
184,181,46
185,181,137
186,181,99
187,181,116
188,181,109
189,181,61
190,181,4
191,181,48
192,181,74
193,181,30
194,181,151
195,181,123
196,181,32
197,181,131
198,181,148
199,181,21
200,181,126
201,181,149
202,181,68
203,181,98
204,181,174
205,181,29
206,181,87
207,181,55
208,181,159
209,181,93
210,181,406
211,181,107
212,78,80
213,14,16
214,14,80
215,43,80
216,10,16
217,10,80
218,41,80
219,27,80
220,3,347
221,3,395
222,18,80
223,62,80
224,57,80
225,16,335
226,16,8
227,16,7
228,16,5
229,16,277
230,16,15
231,16,11
232,16,9
233,16,4
234,16,354
235,53,80
236,47,80
237,80,256
238,80,49
239,80,50
240,80,65
241,80,70
242,80,77
243,80,44
244,80,52
245,80,75
246,80,9
247,80,36
248,80,5
249,80,46
