date,Unnamed: 0,open,volume,ticker,change
1994-03-07,0,20.625,2359000,AVB,
1994-03-14,1,20.75,1572400,AVB,0.6060606060606061
1994-03-21,2,21.0,573000,AVB,1.2048192771084338
1994-03-28,3,21.0,425700,AVB,0.0
1994-04-04,4,20.375,205700,AVB,-2.976190476190476
1994-04-11,5,20.5,141000,AVB,0.6134969325153374
1994-04-18,6,20.125,172000,AVB,-1.8292682926829267
1994-04-25,7,20.5,123900,AVB,1.8633540372670807
1994-05-02,8,20.5,101500,AVB,0.0
1994-05-09,9,20.125,181800,AVB,-1.8292682926829267
1994-05-16,10,20.25,96000,AVB,0.6211180124223602
1994-05-23,11,20.625,495900,AVB,1.8518518518518516
1994-05-30,12,21.375,493700,AVB,3.6363636363636362
1994-06-06,13,21.875,171900,AVB,2.3391812865497075
1994-06-13,14,22.0,214100,AVB,0.5714285714285714
1994-06-20,15,21.375,109100,AVB,-2.840909090909091
1994-06-27,16,21.25,250500,AVB,-0.5847953216374269
1994-07-04,17,21.375,160400,AVB,0.5882352941176471
1994-07-11,18,21.625,199800,AVB,1.1695906432748537
1994-07-18,19,21.625,147900,AVB,0.0
1994-07-25,20,21.125,102000,AVB,-2.312138728323699
1994-08-01,21,20.5,84000,AVB,-2.9585798816568047
1994-08-08,22,21.125,58400,AVB,3.048780487804878
1994-08-15,23,21.25,105900,AVB,0.591715976331361
1994-08-22,24,20.625,359000,AVB,-2.941176470588235
1994-08-29,25,20.125,77200,AVB,-2.4242424242424243
1994-09-05,26,21.0,40000,AVB,4.3478260869565215
1994-09-12,27,20.75,87600,AVB,-1.1904761904761905
1994-09-19,28,21.0,189400,AVB,1.2048192771084338
1994-09-26,29,20.375,181700,AVB,-2.976190476190476
1994-10-03,30,21.125,100300,AVB,3.6809815950920246
1994-10-10,31,21.0,165500,AVB,-0.591715976331361
1994-10-17,32,20.25,207100,AVB,-3.571428571428571
1994-10-24,33,20.25,93300,AVB,0.0
1994-10-31,34,19.875,215800,AVB,-1.8518518518518516
1994-11-07,35,18.625,72400,AVB,-6.289308176100629
1994-11-14,36,18.5,36400,AVB,-0.6711409395973155
1994-11-21,37,18.375,65100,AVB,-0.6756756756756757
1994-11-28,38,18.125,146900,AVB,-1.3605442176870748
1994-12-05,39,18.0,220000,AVB,-0.6896551724137931
1994-12-12,40,17.75,133600,AVB,-1.3888888888888888
1994-12-19,41,20.0,83700,AVB,12.676056338028168
1994-12-26,42,20.25,16000,AVB,1.25
