176,177,HAL,energy,defense,,,
177,178,HAS,consumer goods,entertainment,,,
178,179,HBAN,finance,,,,
179,180,HD,consumer goods,,,,
180,181,HES,energy,,,,
181,182,HIG,insurance,,,,
182,183,HNZ,food,,,,
183,184,HOG,auto,,,,
184,185,HON,consumer goods,aerospace,,,
185,186,HP,energy,,,,
186,187,HPQ,it hardware,,,,
187,188,HRB,consumer services,,,,
188,189,HRL,food,,,,
189,190,HST,real estate,tourism,,,
190,191,HSY,food,,,,
191,192,HUM,health,,,,
192,193,IBM,it,,,,
193,194,ICE,finance,,,,
194,195,IFF,consumer goods,,,,
195,196,IGT,entertainment,,,,
196,197,INTC,it hardware,,,,
197,198,INTU,it,consumer services,,,
198,199,IP,materials,,,,
199,200,IPG,media,,,,
200,201,IR,advanced manufacturing,,,,
201,202,IRM,information services,data storage,,,
202,203,ISRG,health,,,,
203,204,ITW,advanced manufacturing,,,,
204,205,IVZ,finance,,,,
205,206,JBL,advanced manufacturing,,,,
206,207,JCI,real estate,,,,
207,208,JCP,retail,,,,
208,209,JEC,construction,architecture,,,
209,210,JNJ,health,consumer goods,pharma,,
210,211,JNPR,it hardware,,,,
211,212,JPM,finance,,,,
212,213,JWN,retail,,,,
213,214,K,food,manufacturing,,,
214,215,KEY,finance,,,,
215,216,KIM,real estate,,,,
216,217,KLAC,it hardware,,,,
217,218,KMB,consumer goods,,,,
218,219,KMI,energy,,,,
219,220,KMX,auto,,,,
220,221,KO,food,,,,
221,222,KR,consumer goods,food,,,
222,223,KSS,retail,,,,
223,224,L,finance,energy,tourism,,
224,225,LEG,manufacturing,,,,
225,226,LEN,real estate,construction,,,
226,227,LH,health,,,,
227,228,LIFE,biotech,,,,
228,229,LLY,pharma,,,,
229,230,LM,finance,,,,
230,231,LMT,defense,aerospace,,,
231,232,LNC,insurance,finance,,,
232,233,LOW,consumer goods,construction,,,
233,234,LRCX,it hardware,,,,
234,235,LSI,it hardware,,,,
235,236,LUV,aviation,,,,
236,237,LYB,chemicals,,,,
237,238,M,retail,,,,
238,239,MA,finance,,,,
239,240,MAR,tourism,,,,
240,241,MAS,real estate,construction,,,
241,242,MAT,consumer goods,entertainment,,,
242,243,MCD,food,,,,
243,244,MCHP,it hardware,,,,
244,245,MCK,health,pharma,,,
245,246,MCO,finance,,,,
246,247,MDLZ,food,,,,
247,248,MDT,health,,,,
248,249,MET,insurance,,,,
249,250,MHP,information services,,,,
250,251,MKC,food,,,,
251,252,MMC,insurance,consulting,,,
252,253,MMM,materials,construction,,,
253,254,MNST,food,,,,
254,255,MO,tobacco,,,,
255,256,MOLX,manufacturing,,,,
256,257,MON,agriculture,,,,
257,258,MOS,agriculture,,,,
258,259,MPC,energy,,,,
259,260,MRK,pharma,,,,
260,261,MRO,energy,,,,
261,262,MS,finance,,,,
262,263,MSFT,it,,,,
263,264,MSI,telecom,,,,
264,265,MTB,finance,,,,
265,266,MU,it hardware,,,,
266,267,MUR,energy,,,,
267,268,MYL,pharma,,,,
268,269,NBL,energy,,,,
269,270,NBR,energy,,,,
270,271,NDAQ,finance,,,,
271,272,NE,energy,,,,
272,273,NEE,utilities,,,,
273,274,NEM,materials,,,,
274,275,NFLX,media,entertainment,,,
275,276,NFX,energy,,,,
276,277,NI,utilities,,,,
277,278,NKE,retail,,,,
278,279,NOC,defense,aerospace,,,
279,280,NOV,energy,,,,
280,281,NRG,utilities,,,,
281,282,NSC,railway,,,,
282,283,NTAP,it,,,,
283,284,NTRS,finance,,,,
284,285,NUE,materials,,,,
285,286,NVDA,it hardware,,,,
286,287,NWL,consumer goods,,,,
287,288,NWSA,media,,,,
288,289,NYX,finance,,,,
289,290,OI,manufacturing,,,,
290,291,OKE,energy,,,,
291,292,OMC,media,,,,
292,293,ORCL,it,,,,
293,294,ORLY,auto,,,,
294,295,OXY,energy,,,,
295,296,PAYX,it,consumer services,,,
296,297,PBCT,finance,,,,
297,298,PBI,it hardware,telecom,,,
298,299,PCAR,auto,manufacturing,,,
299,300,PCG,utilities,,,,
300,301,PCP,aviation,manufacturing,aerospace,,
301,302,PDCO,health,,,,
302,303,PEG,utilities,,,,
303,304,PEP,food,,,,
304,305,PFE,pharma,,,,
305,306,PFG,insurance,finance,,,
306,307,PG,consumer goods,,,,
307,308,PGR,insurance,,,,
308,309,PH,aviation,aerospace,,,
309,310,PHM,real estate,construction,,,
310,311,PKI,health,,,,
311,312,PLD,real estate,shipping,,,
312,313,PLL,water,aerospace,,,
313,314,PM,tobacco,,,,
314,315,PNC,finance,,,,
315,316,PNR,water,,,,
316,317,PNW,utilities,,,,
317,318,POM,utilities,,,,
318,319,PPG,chemicals,,,,
319,320,PPL,utilities,,,,
320,321,PRGO,pharma,,,,
321,322,PRU,finance,,,,
322,323,PSA,real estate,,,,
323,324,PSX,energy,,,,
324,325,PWR,utilities,energy,construction,,
325,326,PXD,energy,,,,
326,327,QCOM,it hardware,,,,
327,328,QEP,energy,,,,
328,329,R,shipping,,,,
329,330,RF,finance,,,,
330,331,RHI,consulting,,,,
331,332,RL,consumer goods,retail,,,
332,333,ROK,it hardware,,,,
333,334,ROP,it hardware,,,,
334,335,ROST,retail,,,,
335,336,RRC,energy,,,,
336,337,RRD,media,telecom,,,
337,338,RSG,waste,,,,
338,339,RTN,defense,aerospace,,,
339,340,S,telecom,,,,
340,341,SAI,information services,,,,
341,342,SBUX,food,,,,
342,344,SCHW,finance,,,,
343,345,SE,consumer goods,,,,
344,346,SEE,consumer goods,shipping,,,
345,347,SHW,construction,chemicals,,,
346,348,SJM,food,,,,
347,349,SLB,energy,,,,
348,350,SLM,finance,,,,
349,351,SNA,auto,aviation,railway,manufacturing,
350,352,SO,utilities,,,,
351,353,SPG,real estate,,,,
352,354,SRCL,waste,,,,
353,355,SRE,utilities,,,,
354,356,STI,finance,,,,
355,357,STT,finance,,,,
356,358,STX,data storage,,,,
357,359,STZ,food,,,,
358,360,SWK,it hardware,,,,
359,361,SWN,energy,,,,
360,362,SYK,health,,,,
361,363,SYY,health,food,tourism,,
362,364,T,telecom,,,,
363,365,TAP,food,,,,
364,366,TDC,business analytics,,,,
365,367,TEL,it hardware,auto,energy,manufacturing,defense
366,368,TER,it hardware,,,,
367,369,TGT,consumer goods,,,,
368,370,THC,health,,,,
369,372,TIF,retail,,,,
370,373,TJX,retail,,,,
371,374,TMO,biotech,,,,
372,375,TRIP,it,,,,
373,376,TROW,finance,,,,
374,377,TRV,insurance,,,,
375,378,TSN,food,,,,
376,379,TWX,media,entertainment,,,
377,380,TXN,it hardware,,,,
378,381,TXT,aviation,aerospace,,,
379,382,UNH,health,,,,
380,383,UNM,insurance,,,,
381,384,UNP,railway,,,,
