0,19
1,20
2,24
3,25
4,26
5,27
6,30
7,38
8,39
9,40
10,41
11,43
12,44
13,45
14,46
15,47
16,52
17,54
18,55
19,57
20,61
21,62
22,63
23,64
24,65
25,67
26,68
27,70
28,71
29,72
30,73
31,74
32,75
33,76
34,77
35,78
36,79
37,81
38,82
39,85
40,86
41,87
42,88
43,89
44,90
45,91
46,92
47,93
48,94
49,95
50,96
51,97
52,98
53,99
54,100
55,101
56,102
57,103
58,104
59,105
60,106
61,107
62,109
63,110
64,111
65,112
66,113
67,114
68,116
69,117
70,119
71,120
72,122
73,123
74,124
75,126
76,127
77,133
78,135
79,136
80,138
81,139
82,141
83,142
84,143
85,145
86,148
87,149
88,150
89,151
90,153
91,154
92,155
93,157
94,158
95,159
96,160
97,161
98,162
99,163
100,164
101,166
102,168
103,171
104,173
105,174
106,175
107,176
108,177
109,179
110,180
111,181
112,184
113,187
114,189
115,194
116,195
117,198
118,199
119,200
120,202
121,218
122,220
123,221
124,222
125,223
126,224
127,225
128,226
129,227
130,232
131,234
132,235
133,236
134,237
135,238
136,239
137,242
138,247
139,249
140,250
141,252
142,254
143,255
144,257
145,258
146,259
147,261
148,262
149,263
150,264
151,265
152,266
153,268
154,269
155,271
156,276
157,278
158,279
159,280
160,282
161,284
162,285
163,287
164,289
165,290
166,292
167,293
168,295
169,297
170,303
171,304
172,307
173,308
174,309
175,310
176,311
177,312
178,315
179,316
180,317
181,318
182,319
183,320
184,321
185,322
186,323
187,324
188,325
189,327
190,329
191,332
192,333
193,334
194,335
195,336
196,337
197,342
198,345
