date,Unnamed: 0,open,volume,ticker,change
1993-01-25,0,6.662400722503662,93261600,AXP,
1993-02-01,1,6.437102317810059,69037100,AXP,-3.381639953487197
1993-02-08,2,6.437102317810059,32712200,AXP,0.0
1993-02-15,3,6.3083600997924805,28428000,AXP,-2.000002666749237
1993-02-22,4,6.179617881774902,26829800,AXP,-2.0408191032375154
1993-03-01,5,6.3083600997924805,25501600,AXP,2.0833362269416074
1993-03-08,6,6.630215167999268,60788500,AXP,5.102040199280552
1993-03-15,7,7.209554195404053,37283100,AXP,8.737861633826983
1993-03-22,8,7.209554195404053,30484800,AXP,0.0
1993-03-29,9,7.145183086395264,20299200,AXP,-0.8928583829749746
1993-04-05,10,6.952070236206055,29617600,AXP,-2.7026998168445
1993-04-12,11,7.499223709106445,30293100,AXP,7.870367448977156
1993-04-19,12,7.4348530769348145,24018600,AXP,-0.8583639409698421
1993-04-26,13,7.4348530769348145,22260600,AXP,0.0
1993-05-03,14,7.145183086395264,16900000,AXP,-3.8961091435444177
1993-05-10,15,7.145183086395264,19810900,AXP,0.0
1993-05-17,16,7.112998008728027,24120800,AXP,-0.45044440818483855
1993-05-24,17,7.241739749908447,17218600,AXP,1.809950474082053
1993-05-31,18,7.40266752243042,11873000,AXP,2.222225295019849
1993-06-07,19,7.370481967926025,19369000,AXP,-0.43478319682561506
1993-06-14,20,7.660151481628418,31421800,AXP,3.930129874314074
1993-06-21,21,7.724522590637207,32604200,AXP,0.8403372852765681
1993-06-28,22,7.982006549835205,32063500,AXP,3.333331687191788
1993-07-05,23,8.014191627502441,19638100,AXP,0.4032203865818779
1993-07-12,24,7.982006549835205,23627800,AXP,-0.4016010492784604
1993-07-19,25,8.110748291015625,20065600,AXP,1.612899468030102
1993-07-26,26,8.368232727050781,36136900,AXP,3.1746076539001327
1993-08-02,27,8.43260383605957,32806800,AXP,0.7692318212028908
1993-08-09,28,8.593531608581543,16039600,AXP,1.9083995364968052
